Date,Open,High,Low,Close,Adj Close,Volume
2015-08-07,2.831620,3.536610,2.521120,2.772120,2.772120,164329
2015-08-08,2.793760,2.798810,0.714725,0.753325,0.753325,674188
2015-08-09,0.706136,0.879810,0.629191,0.701897,0.701897,532170
2015-08-10,0.713989,0.729854,0.636546,0.708448,0.708448,405283
2015-08-11,0.708087,1.131410,0.663235,1.067860,1.067860,1463100
2015-08-12,1.058750,1.289940,0.883608,1.217440,1.217440,2150620
2015-08-13,1.222240,1.965070,1.171990,1.827670,1.827670,4068680
2015-08-14,1.810920,2.261880,1.754750,1.827870,1.827870,4637030
2015-08-15,1.802890,1.877240,1.570980,1.688900,1.688900,2554360
2015-08-16,1.684350,1.695240,1.089810,1.566030,1.566030,3550790
2015-08-17,1.581190,1.581190,1.185340,1.203610,1.203610,1942830
2015-08-18,1.215300,1.331160,1.087050,1.087050,1.087050,1485680
2015-08-19,1.166930,1.317990,1.166930,1.258860,1.258860,1486240
2015-08-20,1.251180,1.533300,1.248330,1.464920,1.464920,2843760
2015-08-21,1.477520,1.556420,1.352800,1.395290,1.395290,2020970
2015-08-22,1.396290,1.476410,1.352680,1.379230,1.379230,948310
2015-08-23,1.375000,1.409700,1.297770,1.352590,1.352590,1589300
2015-08-24,1.345590,1.362780,1.231270,1.231270,1.231270,924920
2015-08-25,1.228610,1.241820,1.128650,1.140190,1.140190,1307180
2015-08-26,1.132790,1.202480,1.061830,1.159980,1.159980,1056750
2015-08-27,1.169810,1.188830,1.137290,1.147700,1.147700,686662
2015-08-28,1.147660,1.207790,1.120500,1.191380,1.191380,721872
2015-08-29,1.193530,1.207210,1.149490,1.182550,1.182550,375377
2015-08-30,1.182990,1.367990,1.170610,1.319270,1.319270,1337650
2015-08-31,1.321380,1.396150,1.201010,1.358240,1.358240,1447180
2015-09-01,1.353480,1.392740,1.336630,1.351610,1.351610,778862
2015-09-02,1.351570,1.354910,1.264620,1.294790,1.294790,883769
2015-09-03,1.295190,1.309990,1.211030,1.264930,1.264930,702991
2015-09-04,1.264930,1.302520,1.236810,1.274410,1.274410,474391
2015-09-05,1.280560,1.342300,1.271190,1.338810,1.338810,448453
2015-09-06,1.338010,1.373640,1.294250,1.295830,1.295830,491968
2015-09-07,1.295900,1.305480,1.237850,1.246650,1.246650,489014
2015-09-08,1.246650,1.282380,1.230610,1.242430,1.242430,427892
2015-09-09,1.239350,1.260480,1.201840,1.206510,1.206510,366748
2015-09-10,1.207610,1.221570,1.136150,1.165770,1.165770,662782
2015-09-11,1.164970,1.169070,0.940675,0.982978,0.982978,1942600
2015-09-12,0.987228,1.114890,0.969780,1.038740,1.038740,772430
2015-09-13,1.041780,1.042700,0.902832,0.936003,0.936003,644138
2015-09-14,0.940566,0.949387,0.871760,0.875622,0.875622,741085
2015-09-15,0.875189,1.045540,0.875189,0.944410,0.944410,703390
2015-09-16,0.941977,0.952698,0.901639,0.907175,0.907175,615593
2015-09-17,0.906865,0.909204,0.831132,0.874231,0.874231,897940
