30,17,33,23,31,30,34,33,32,17,10,13,40,21,33,21,21,35,20,18,15,14,39,28,39,19,37,10,32,34,36
39,26,35,12,17,40,38,10,34,12,13,18,12,40,16,18,39,16,20,23,26,15,20,33,40,12,17,30,31,11,20
26,31,33,36,21,12,18,19,19,13,33,35,39,20,11,26,24,38,36,17,27,22,16,37,17,40,29,40,12,14,40
12,13,11,34,29,34,12,29,30,39,28,21,28,35,15,24,12,20,39,18,12,19,30,10,18,37,19,28,30,32,37
37,17,21,11,22,22,24,36,11,32,33,35,20,16,40,26,38,36,33,40,23,11,23,38,37,23,37,15,37,33,11
32,38,11,27,17,11,13,38,21,38,38,19,36,10,30,26,14,32,14,10,32,25,19,10,30,28,32,28,13,39,29
23,27,18,35,37,40,20,29,29,40,20,10,17,36,22,27,34,19,36,39,16,22,40,24,35,12,39,20,40,32,27
17,37,34,11,29,21,20,30,40,33,12,13,40,18,34,17,36,27,13,11,27,13,35,31,37,28,30,37,27,32,28
32,31,23,30,10,23,25,11,24,35,36,36,21,13,11,39,32,39,38,14,38,27,31,17,27,18,30,30,22,24,29
35,38,19,22,11,19,38,10,36,12,12,28,19,40,27,39,31,19,20,37,34,18,35,10,30,29,21,18,36,16,38
20,35,10,16,28,24,17,37,31,19,28,38,31,37,15,34,18,11,38,37,20,40,33,29,33,28,19,33,24,26,38
18,40,34,20,17,19,15,27,35,12,14,18,17,16,31,39,28,28,40,18,29,15,16,40,39,35,27,30,38,35,16
